# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     199     0.00000     0.00000     0.00000    0.174100554   -0.169250446   -0.343351000
     1     199     0.02462     0.00000     0.00000    0.173393174   -0.168592066   -0.341985239
     1     199     0.04923     0.00000     0.00000    0.171086797   -0.164502469   -0.335589266
     1     199     0.07385     0.00000     0.00000    0.167302366   -0.161772795   -0.329075161
     1     199     0.09846     0.00000     0.00000    0.163098209   -0.163334044   -0.326432253
     1     199     0.12308     0.00000     0.00000    0.159850412   -0.166520586   -0.326370998
     1     199     0.14769     0.00000     0.00000    0.158616127   -0.167833873   -0.326450000
     1     199     0.00000     0.08450     0.00000    0.182046576   -0.163595424   -0.345642000
     1     199     0.00000     0.07042     0.00000    0.181528436   -0.163714654   -0.345243090
     1     199     0.00000     0.05633     0.00000    0.180158415   -0.163024119   -0.343182534
     1     199     0.00000     0.04225     0.00000    0.178228333   -0.163269210   -0.341497544
     1     199     0.00000     0.02817     0.00000    0.176216212   -0.165463831   -0.341680043
     1     199     0.00000     0.01408     0.00000    0.174690195   -0.168207376   -0.342897572
     1     199     0.00000     0.00000     0.00000    0.174100554   -0.169250446   -0.343351000
     1     199     0.00000     0.00000     0.03843    0.171052979   -0.167072096   -0.338125075
     1     199     0.00000     0.00000     0.07685    0.161403582   -0.164867364   -0.326270946
     1     199     0.00000     0.00000     0.11528    0.145410294   -0.179685706   -0.325096000
     1     199     0.00000     0.00000     0.15371    0.128432922   -0.192140899   -0.320573821
     1     199     0.00000     0.00000     0.19213    0.116111769   -0.170990586   -0.287102355
     1     199     0.00000     0.00000     0.23056    0.105907687   -0.153848313   -0.259756000
     1     199    -0.14769    -0.08450     0.23056    0.137252249   -0.212901751   -0.350154000
     1     199    -0.12308    -0.07042     0.19213    0.138510157   -0.187482337   -0.325992494
     1     199    -0.09846    -0.05633     0.15371    0.145903040   -0.170392458   -0.316295498
     1     199    -0.07385    -0.04225     0.11528    0.157326967   -0.164265426   -0.321592393
     1     199    -0.04923    -0.02817     0.07685    0.170118592   -0.154585998   -0.324704589
     1     199    -0.02462    -0.01408     0.03843    0.174721551   -0.166363976   -0.341085527
     1     199     0.00000     0.00000     0.00000    0.174100554   -0.169250446   -0.343351000
     1     199     0.00000    -0.01408     0.03843    0.172319920   -0.168158882   -0.340478803
     1     199     0.00000    -0.02817     0.07685    0.165920064   -0.159418391   -0.325338455
     1     199     0.00000    -0.04225     0.11528    0.155315683   -0.166958498   -0.322274181
     1     199     0.00000    -0.05633     0.15371    0.136280107   -0.174789894   -0.311070001
     1     199     0.00000    -0.07042     0.19213    0.114131106   -0.164396943   -0.278528049
     1     199     0.00000    -0.08450     0.23056    0.104607305   -0.168706695   -0.273314000
     1     199    -0.14769     0.00000     0.23056    0.123584264   -0.157659736   -0.281244000
     1     199    -0.12308     0.00000     0.19213    0.124788582   -0.167265454   -0.292054035
     1     199    -0.09846     0.00000     0.15371    0.127996104   -0.188824846   -0.316820950
