# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     139     0.00000     0.00000     0.00000   -0.901624658   -2.458495658   -1.556871000
     1     139     0.05370     0.00000     0.00000   -0.904289620   -2.508251086   -1.603961466
     1     139     0.10741     0.00000     0.00000   -0.908303342   -2.515521019   -1.607217677
     1     139     0.16111     0.00000     0.00000   -0.907251775   -2.514942775   -1.607691000
     1     139     0.21482     0.00000     0.00000   -0.895506085   -2.485588807   -1.590082722
     1     139     0.26852     0.00000     0.00000   -0.882005239   -2.479247752   -1.597242513
     1     139     0.32223     0.00000     0.00000   -0.873213746   -2.469099746   -1.595886000
     1     139     0.26852     0.02130     0.00000   -0.880571088   -2.482618435   -1.602047347
     1     139     0.21482     0.04259     0.00000   -0.891012316   -2.491282082   -1.600269766
     1     139     0.16111     0.06389     0.00000   -0.886846022   -2.484046305   -1.597200282
     1     139     0.10741     0.08518     0.00000   -0.881556341   -2.472759888   -1.591203548
     1     139     0.05370     0.10648     0.00000   -0.882750964   -2.471226995   -1.588476032
     1     139     0.00000     0.12777     0.00000   -0.876750461   -2.472403461   -1.595653000
     1     139     0.00000     0.10648     0.00000   -0.886332284   -2.482160573   -1.595828289
     1     139     0.00000     0.08518     0.00000   -0.895245055   -2.492662318   -1.597417263
     1     139     0.00000     0.06389     0.00000   -0.901263798   -2.491227460   -1.589963662
     1     139     0.00000     0.04259     0.00000   -0.902057178   -2.485246839   -1.583189661
     1     139     0.00000     0.02130     0.00000   -0.901658998   -2.473576916   -1.571917919
     1     139     0.00000     0.00000     0.00000   -0.901624658   -2.458495658   -1.556871000
     1     139     0.00000     0.00000     0.01676   -0.903106255   -2.459738294   -1.556632039
     1     139     0.00000     0.00000     0.03352   -0.907184109   -2.460476260   -1.553292151
     1     139     0.00000     0.00000     0.05028   -0.911914914   -2.515453723   -1.603538809
     1     139     0.00000     0.00000     0.06704   -0.907152035   -2.510384060   -1.603232025
     1     139     0.00000     0.00000     0.08380   -0.900891874   -2.503966150   -1.603074276
     1     139     0.00000     0.00000     0.10056   -0.893335240   -2.496387240   -1.603052000
     1     139    -0.05370    -0.02130     0.10056   -0.890160660   -2.489120365   -1.598959705
     1     139    -0.10741    -0.04259     0.10056   -0.881435619   -2.466919330   -1.585483711
     1     139    -0.16111    -0.06389     0.10056   -0.866188184   -2.459140358   -1.592952174
     1     139    -0.21482    -0.08518     0.10056   -0.868246119   -2.469235645   -1.600989525
     1     139    -0.26852    -0.10648     0.10056   -0.881789011   -2.487000278   -1.605211267
     1     139    -0.32223    -0.12777     0.10056   -0.889018403   -2.489253403   -1.600235000
     1     139    -0.26852    -0.10648     0.08380   -0.883460656   -2.486446942   -1.602986286
     1     139    -0.21482    -0.08518     0.06704   -0.878158524   -2.477322122   -1.599163598
     1     139    -0.16111    -0.06389     0.05028   -0.883058159   -2.476219729   -1.593161570
     1     139    -0.10741    -0.04259     0.03352   -0.896530985   -2.486566513   -1.590035529
     1     139    -0.05370    -0.02130     0.01676   -0.901602398   -2.498621745   -1.597019348
     1     139     0.00000     0.00000     0.00000   -0.901624658   -2.458495658   -1.556871000
     1     139     0.00000    -0.02130     0.01676   -0.902555608   -2.467179490   -1.564623883
     1     139     0.00000    -0.04259     0.03352   -0.903804877   -2.467707500   -1.563902622
     1     139     0.00000    -0.06389     0.05028   -0.901658183   -2.496470394   -1.594812211
     1     139     0.00000    -0.08518     0.06704   -0.891746297   -2.483890445   -1.592144148
     1     139     0.00000    -0.10648     0.08380   -0.881920122   -2.475791020   -1.593870898
     1     139     0.00000    -0.12777     0.10056   -0.877056641   -2.473477641   -1.596421000
     1     139    -0.05370    -0.10648     0.10056   -0.878353542   -2.462231488   -1.583877946
     1     139    -0.10741    -0.08518     0.10056   -0.872083165   -2.456938254   -1.584855088
     1     139    -0.16111    -0.06389     0.10056   -0.866188184   -2.459140358   -1.592952174
     1     139    -0.21482    -0.04259     0.10056   -0.861817517   -2.461490854   -1.599673337
     1     139    -0.26852    -0.02130     0.10056   -0.863448228   -2.470405972   -1.606957744
     1     139    -0.32223     0.00000     0.10056   -0.870545978   -2.476820978   -1.606275000
     1     139    -0.26852     0.00000     0.08380   -0.865423210   -2.471209798   -1.605786588
     1     139    -0.21482     0.00000     0.06704   -0.877572401   -2.469500819   -1.591928418
     1     139    -0.16111     0.00000     0.05028   -0.894521516   -2.481471263   -1.586949747
     1     139    -0.10741     0.00000     0.03352   -0.902852809   -2.498314847   -1.595462038
     1     139    -0.05370     0.00000     0.01676   -0.902131006   -2.500040305   -1.597909299
     1     139     0.00000     0.00000     0.00000   -0.901624658   -2.458495658   -1.556871000
     1     139     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     139     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     139     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     139     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     139     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     139     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     139     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     139     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     139     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     139     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     139     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     139     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     139     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     139     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     139     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     139     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     139     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     139     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     139     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     139     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     139     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     140     0.00000     0.00000     0.00000   -0.895476512   -2.504584512   -1.609108000
     1     140     0.05370     0.00000     0.00000   -0.889146712   -2.447186024   -1.558039312
     1     140     0.10741     0.00000     0.00000   -0.873382858   -2.469726374   -1.596343516
     1     140     0.16111     0.00000     0.00000   -0.876296466   -2.487485466   -1.611189000
     1     140     0.21482     0.00000     0.00000   -0.885445436   -2.498098297   -1.612652861
     1     140     0.26852     0.00000     0.00000   -0.881029454   -2.481803250   -1.600773796
     1     140     0.32223     0.00000     0.00000   -0.873213746   -2.469099746   -1.595886000
     1     140     0.26852     0.02130     0.00000   -0.873877897   -2.473883553   -1.600005656
     1     140     0.21482     0.04259     0.00000   -0.866669396   -2.469008028   -1.602338633
     1     140     0.16111     0.06389     0.00000   -0.860604557   -2.463060047   -1.602455490
     1     140     0.10741     0.08518     0.00000   -0.860590301   -2.451083013   -1.590492712
     1     140     0.05370     0.10648     0.00000   -0.865064075   -2.454225317   -1.589161242
     1     140     0.00000     0.12777     0.00000   -0.876750461   -2.472403461   -1.595653000
     1     140     0.00000     0.10648     0.00000   -0.866673261   -2.462231893   -1.595558632
     1     140     0.00000     0.08518     0.00000   -0.858753387   -2.436962939   -1.578209552
     1     140     0.00000     0.06389     0.00000   -0.873334765   -2.447887788   -1.574553022
     1     140     0.00000     0.04259     0.00000   -0.885327916   -2.462683279   -1.577355363
     1     140     0.00000     0.02130     0.00000   -0.892987022   -2.486251932   -1.593264910
     1     140     0.00000     0.00000     0.00000   -0.895476512   -2.504584512   -1.609108000
     1     140     0.00000     0.00000     0.01676   -0.893170525   -2.496154424   -1.602983898
     1     140     0.00000     0.00000     0.03352   -0.887749510   -2.479423863   -1.591674353
     1     140     0.00000     0.00000     0.05028   -0.880916625   -2.470305322   -1.589388697
     1     140     0.00000     0.00000     0.06704   -0.877109457   -2.471937031   -1.594827574
     1     140     0.00000     0.00000     0.08380   -0.885174523   -2.487769324   -1.602594801
     1     140     0.00000     0.00000     0.10056   -0.893335240   -2.496387240   -1.603052000
     1     140    -0.05370    -0.02130     0.10056   -0.890160660   -2.489120365   -1.598959705
     1     140    -0.10741    -0.04259     0.10056   -0.881435619   -2.466919330   -1.585483711
     1     140    -0.16111    -0.06389     0.10056   -0.866188184   -2.459140358   -1.592952174
     1     140    -0.21482    -0.08518     0.10056   -0.868246119   -2.469235645   -1.600989525
     1     140    -0.26852    -0.10648     0.10056   -0.881789011   -2.487000278   -1.605211267
     1     140    -0.32223    -0.12777     0.10056   -0.889018403   -2.489253403   -1.600235000
     1     140    -0.26852    -0.10648     0.08380   -0.876689222   -2.482742162   -1.606052940
     1     140    -0.21482    -0.08518     0.06704   -0.857105209   -2.463133431   -1.606028221
     1     140    -0.16111    -0.06389     0.05028   -0.862687025   -2.462607860   -1.599920835
     1     140    -0.10741    -0.04259     0.03352   -0.874289916   -2.460968135   -1.586678218
     1     140    -0.05370    -0.02130     0.01676   -0.888930804   -2.441588825   -1.552658021
     1     140     0.00000     0.00000     0.00000   -0.895476512   -2.504584512   -1.609108000
     1     140     0.00000    -0.02130     0.01676   -0.891323141   -2.485580254   -1.594257113
     1     140     0.00000    -0.04259     0.03352   -0.881764502   -2.459734708   -1.577970206
     1     140     0.00000    -0.06389     0.05028   -0.870827608   -2.443190926   -1.572363318
     1     140     0.00000    -0.08518     0.06704   -0.866136048   -2.445427073   -1.579291026
     1     140     0.00000    -0.10648     0.08380   -0.872175835   -2.461752084   -1.589576249
     1     140     0.00000    -0.12777     0.10056   -0.877056641   -2.473477641   -1.596421000
     1     140    -0.05370    -0.10648     0.10056   -0.878353542   -2.462231488   -1.583877946
     1     140    -0.10741    -0.08518     0.10056   -0.872083165   -2.456938254   -1.584855088
     1     140    -0.16111    -0.06389     0.10056   -0.866188184   -2.459140358   -1.592952174
     1     140    -0.21482    -0.04259     0.10056   -0.861817517   -2.461490854   -1.599673337
     1     140    -0.26852    -0.02130     0.10056   -0.863448228   -2.470405972   -1.606957744
     1     140    -0.32223     0.00000     0.10056   -0.870545978   -2.476820978   -1.606275000
     1     140    -0.26852     0.00000     0.08380   -0.860478219   -2.469726443   -1.609248224
     1     140    -0.21482     0.00000     0.06704   -0.865618666   -2.465948215   -1.600329549
     1     140    -0.16111     0.00000     0.05028   -0.874821007   -2.477444053   -1.602623046
     1     140    -0.10741     0.00000     0.03352   -0.877603894   -2.460961677   -1.583357784
     1     140    -0.05370     0.00000     0.01676   -0.890520449   -2.442092722   -1.551572273
     1     140     0.00000     0.00000     0.00000   -0.895476512   -2.504584512   -1.609108000
     1     140     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     140     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     140     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     140     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     140     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     140     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     140     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     140     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     140     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     140     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     140     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     140     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     140     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     140     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     140     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     140     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     140     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     140     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     140     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     140     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     140     0.32223    -0.12777     0.00000   -0.881735931   -2.476330931   -1.594595000
     1     141     0.00000     0.00000     0.00000   -0.860322019   -2.420864019   -1.560542000
     1     141     0.05370     0.00000     0.00000   -0.857510448   -2.423590179   -1.566079731
     1     141     0.10741     0.00000     0.00000   -0.853400162   -2.442991734   -1.589591572
     1     141     0.16111     0.00000     0.00000   -0.846252208   -2.444962208   -1.598710000
     1     141     0.21482     0.00000     0.00000   -0.851273843   -2.454043943   -1.602770100
     1     141     0.26852     0.00000     0.00000   -0.861101465   -2.463459117   -1.602357652
     1     141     0.32223     0.00000     0.00000   -0.859103136   -2.457650136   -1.598547000
     1     141     0.26852     0.02130     0.00000   -0.859717961   -2.461151047   -1.601433086
     1     141     0.21482     0.04259     0.00000   -0.850454149   -2.458376028   -1.607921878
     1     141     0.16111     0.06389     0.00000   -0.847486026   -2.447436161   -1.599950135
     1     141     0.10741     0.08518     0.00000   -0.847811991   -2.441204780   -1.593392790
     1     141     0.05370     0.10648     0.00000   -0.847160087   -2.421459210   -1.574299124
     1     141     0.00000     0.12777     0.00000   -0.832883068   -2.416539068   -1.583656000
     1     141     0.00000     0.10648     0.00000   -0.843568748   -2.426510538   -1.582941790
     1     141     0.00000     0.08518     0.00000   -0.856463135   -2.451445206   -1.594982071
     1     141     0.00000     0.06389     0.00000   -0.849260577   -2.428175777   -1.578915200
     1     141     0.00000     0.04259     0.00000   -0.853737955   -2.414808106   -1.561070152
     1     141     0.00000     0.02130     0.00000   -0.858519050   -2.419192467   -1.560673417
     1     141     0.00000     0.00000     0.00000   -0.860322019   -2.420864019   -1.560542000
     1     141     0.00000     0.00000     0.01676   -0.861349168   -2.422429689   -1.561080521
     1     141     0.00000     0.00000     0.03352   -0.864640007   -2.432030306   -1.567390299
     1     141     0.00000     0.00000     0.05028   -0.870059307   -2.450731178   -1.580671871
     1     141     0.00000     0.00000     0.06704   -0.873657281   -2.469041262   -1.595383981
     1     141     0.00000     0.00000     0.08380   -0.866243146   -2.467434851   -1.601191705
     1     141     0.00000     0.00000     0.10056   -0.858516059   -2.460512059   -1.601996000
     1     141    -0.05370    -0.02130     0.10056   -0.860176159   -2.459016816   -1.598840657
     1     141    -0.10741    -0.04259     0.10056   -0.856543479   -2.448396957   -1.591853478
