# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     511     0.00000     0.00000     0.00000    0.238376423   -0.639161577   -0.877538000
     1     511     0.02561     0.00000     0.00453    0.232644601   -0.641152992   -0.873797593
     1     511     0.05122     0.00000     0.00906    0.217905148   -0.644056166   -0.861961314
     1     511     0.07683     0.00000     0.01359    0.192993952   -0.663867353   -0.856861306
     1     511     0.10243     0.00000     0.01813    0.161158152   -0.701487233   -0.862645386
     1     511     0.12804     0.00000     0.02266    0.169941857   -0.700554143   -0.870496000
     1     511     0.00000     0.12897     0.00000    0.269985797   -0.594392203   -0.864378000
     1     511     0.00000     0.10318     0.00000    0.259458044   -0.604899080   -0.864357125
     1     511     0.00000     0.07738     0.00000    0.250175881   -0.617029828   -0.867205709
     1     511     0.00000     0.05159     0.00000    0.243433982   -0.629036635   -0.872470616
     1     511     0.00000     0.02579     0.00000    0.239600564   -0.637323589   -0.876924153
     1     511     0.00000     0.00000     0.00000    0.238376423   -0.639161577   -0.877538000
     1     511     0.00000     0.00000    -0.00895    0.237259477   -0.639478163   -0.876737640
     1     511     0.00000     0.00000    -0.01789    0.234094216   -0.640627350   -0.874721566
     1     511     0.00000     0.00000    -0.02684    0.229265528   -0.642726540   -0.871992068
     1     511     0.00000     0.00000    -0.03579    0.223059289   -0.645584766   -0.868644055
     1     511     0.00000     0.00000    -0.04474    0.215584010   -0.648969648   -0.864553658
     1     511     0.00000     0.00000    -0.05368    0.206908928   -0.652661991   -0.859570919
     1     511     0.00000     0.00000    -0.06263    0.204772467   -0.650567557   -0.855340024
     1     511     0.00000     0.00000    -0.07158    0.219113649   -0.612184470   -0.831298118
     1     511    -0.12804    -0.12897    -0.09423    0.202582217   -0.648468901   -0.851051118
     1     511    -0.11204    -0.11285    -0.08246    0.199238198   -0.653332316   -0.852570514
     1     511    -0.09603    -0.09673    -0.07068    0.191732384   -0.660996970   -0.852729354
     1     511    -0.08003    -0.08061    -0.05890    0.186007593   -0.669693007   -0.855700600
     1     511    -0.06402    -0.06449    -0.04712    0.191273580   -0.667404125   -0.858677705
     1     511    -0.04802    -0.04837    -0.03534    0.213601963   -0.640624984   -0.854226946
     1     511    -0.03201    -0.03224    -0.02356    0.225243540   -0.640833377   -0.866076916
     1     511    -0.01601    -0.01612    -0.01178    0.234204999   -0.640454244   -0.874659242
     1     511     0.00000     0.00000     0.00000    0.238376423   -0.639161577   -0.877538000
     1     511     0.00000    -0.01612    -0.00895    0.237798985   -0.638885155   -0.876684140
     1     511     0.00000    -0.03224    -0.01789    0.236774497   -0.637947971   -0.874722468
     1     511     0.00000    -0.04837    -0.02684    0.236225368   -0.635129293   -0.871354661
     1     511     0.00000    -0.06449    -0.03579    0.236077360   -0.628838702   -0.864916062
     1     511     0.00000    -0.08061    -0.04474    0.235445813   -0.619798338   -0.855244152
     1     511     0.00000    -0.09673    -0.05368    0.232830059   -0.613438157   -0.846268216
     1     511     0.00000    -0.11285    -0.06263    0.227541400   -0.613827111   -0.841368511
     1     511     0.00000    -0.12897    -0.07158    0.223278166   -0.624038573   -0.847316740
     1     511    -0.12804     0.00000    -0.09423    0.181907539   -0.677016198   -0.858923737
     1     511    -0.11204     0.00000    -0.08246    0.179244891   -0.685198296   -0.864443186
     1     511    -0.09603     0.00000    -0.07068    0.171222940   -0.695304597   -0.866527537
     1     511    -0.08003     0.00000    -0.05890    0.180655826   -0.676441867   -0.857097693
     1     511    -0.06402     0.00000    -0.04712    0.182098453   -0.671258698   -0.853357150
     1     511    -0.04802     0.00000    -0.03534    0.211169655   -0.646477353   -0.857647008
     1     511    -0.03201     0.00000    -0.02356    0.223415215   -0.643902269   -0.867317484
     1     511    -0.01601     0.00000    -0.01178    0.233674643   -0.641067513   -0.874742156
     1     511     0.00000     0.00000     0.00000    0.238376423   -0.639161577   -0.877538000
     1     511     0.01601    -0.01612     0.00283    0.236476159   -0.639634429   -0.876110588
     1     511     0.03201    -0.03224     0.00566    0.231481360   -0.639258942   -0.870740302
     1     511     0.04802    -0.04837     0.00850    0.223897994   -0.637837867   -0.861735862
     1     511     0.06402    -0.06449     0.01133    0.213483303   -0.639321317   -0.852804620
     1     511     0.08003    -0.08061     0.01416    0.200439641   -0.646920044   -0.847359685
     1     511     0.09603    -0.09673     0.01699    0.188673011   -0.654895639   -0.843568650
     1     511     0.11204    -0.11285     0.01983    0.182617746   -0.655911670   -0.838529416
     1     511     0.12804    -0.12897     0.02266    0.181273504   -0.655514496   -0.836788000
     1     512     0.00000     0.00000     0.00000    0.260697923   -0.602858077   -0.863556000
     1     512     0.02561     0.00000     0.00453    0.258576576   -0.597026199   -0.855602775
     1     512     0.05122     0.00000     0.00906    0.240020741   -0.601733551   -0.841754292
     1     512     0.07683     0.00000     0.01359    0.215337596   -0.638825475   -0.854163071
     1     512     0.10243     0.00000     0.01813    0.193013235   -0.674660751   -0.867673986
     1     512     0.12804     0.00000     0.02266    0.170060831   -0.700462169   -0.870523000
     1     512     0.00000     0.12897     0.00000    0.270085277   -0.594384723   -0.864470000
     1     512     0.00000     0.10318     0.00000    0.280137324   -0.583497189   -0.863634513
     1     512     0.00000     0.07738     0.00000    0.285144649   -0.561515268   -0.846659917
     1     512     0.00000     0.05159     0.00000    0.274248132   -0.578007198   -0.852255330
     1     512     0.00000     0.02579     0.00000    0.264544222   -0.597431169   -0.861975391
     1     512     0.00000     0.00000     0.00000    0.260697923   -0.602858077   -0.863556000
     1     512     0.00000     0.00000    -0.00895    0.261086595   -0.602826037   -0.863912632
     1     512     0.00000     0.00000    -0.01789    0.262095029   -0.602426521   -0.864521550
     1     512     0.00000     0.00000    -0.02684    0.263302642   -0.601151241   -0.864453883
     1     512     0.00000     0.00000    -0.03579    0.264097679   -0.595563701   -0.859661380
     1     512     0.00000     0.00000    -0.04474    0.259283809   -0.565008598   -0.824292407
     1     512     0.00000     0.00000    -0.05368    0.247187107   -0.568659278   -0.815846384
     1     512     0.00000     0.00000    -0.06263    0.233502787   -0.578545347   -0.812048133
     1     512     0.00000     0.00000    -0.07158    0.219242658   -0.611946173   -0.831188831
     1     512    -0.12804    -0.12897    -0.09423    0.202624582   -0.648393281   -0.851017863
