# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     367     0.00000     0.00000     0.00000    1.358125911    0.633536911   -0.724589000
     1     367     0.01403     0.00000     0.00000    1.358209217    0.633987122   -0.724222094
     1     367     0.02807     0.00000     0.00000    1.358404595    0.635873248   -0.722531347
     1     367     0.04210     0.00000     0.00000    1.358734808    0.637430839   -0.721303969
     1     367     0.05613     0.00000     0.00000    1.359136428    0.637343734   -0.721792694
     1     367     0.07017     0.00000     0.00000    1.359605770    0.636485342   -0.723120428
     1     367     0.08420     0.00000     0.00000    1.360123926    0.636640926   -0.723483000
     1     367     0.08420     0.00847     0.00000    1.360035448    0.636640106   -0.723395343
     1     367     0.08420     0.01694     0.00000    1.359870120    0.636735882   -0.723134238
     1     367     0.08420     0.02541     0.00000    1.359627640    0.636924425   -0.722703216
     1     367     0.08420     0.03387     0.00000    1.359339355    0.637233042   -0.722106313
     1     367     0.08420     0.04234     0.00000    1.358947216    0.637597129   -0.721350086
     1     367     0.08420     0.05081     0.00000    1.358578567    0.637756812   -0.720821755
     1     367     0.07017     0.05081     0.00000    1.358909451    0.638509758   -0.720399693
     1     367     0.05613     0.05081     0.00000    1.359264329    0.640944893   -0.718319435
     1     367     0.04210     0.05081     0.00000    1.359566537    0.642230545   -0.717335992
     1     367     0.02807     0.05081     0.00000    1.359797111    0.642418862   -0.717378249
     1     367     0.01403     0.05081     0.00000    1.359923012    0.641360184   -0.718562828
     1     367     0.00000     0.05081     0.00000    1.359951697    0.640998317   -0.718953380
     1     367     0.00000     0.04234     0.00000    1.359434099    0.639593371   -0.719840728
     1     367     0.00000     0.03387     0.00000    1.358957494    0.638520010   -0.720437484
     1     367     0.00000     0.02541     0.00000    1.358534863    0.637645318   -0.720889545
     1     367     0.00000     0.01694     0.00000    1.358230967    0.637024613   -0.721206354
     1     367     0.00000     0.00847     0.00000    1.358109172    0.633604059   -0.724505113
     1     367     0.00000     0.00000     0.00000    1.358125911    0.633536911   -0.724589000
     1     367     0.00000     0.00000     0.07486    1.348692758    0.620442118   -0.728250641
     1     367     0.00000     0.00000     0.14972    1.290986648    0.557397242   -0.733589406
     1     367     0.00000     0.00000     0.22458    1.168062496    0.414717496   -0.753345000
     1     367     0.00000     0.00000     0.29944    1.022323529    0.238255369   -0.784068161
     1     367     0.00000     0.00000     0.37430    0.909762159    0.115350607   -0.794411552
     1     367     0.00000     0.00000     0.44916    0.869245006    0.060713006   -0.808532000
     1     367     0.01403     0.00000     0.44916    0.869038339    0.060953601   -0.808084738
     1     367     0.02807     0.00000     0.44916    0.868495380    0.062065562   -0.806429818
     1     367     0.04210     0.00000     0.44916    0.867653020    0.061848803   -0.805804218
     1     367     0.05613     0.00000     0.44916    0.866504450    0.059198213   -0.807306238
     1     367     0.07017     0.00000     0.44916    0.865168884    0.055717617   -0.809451267
     1     367     0.08420     0.00000     0.44916    0.864044130    0.053820130   -0.810224000
     1     367     0.08420     0.00847     0.44916    0.863999973    0.053836068   -0.810163904
     1     367     0.08420     0.01694     0.44916    0.863908163    0.053917310   -0.809990853
     1     367     0.08420     0.02541     0.44916    0.863772007    0.054049967   -0.809722040
     1     367     0.08420     0.03387     0.44916    0.863571940    0.054191574   -0.809380366
     1     367     0.08420     0.04234     0.44916    0.863409768    0.054427436   -0.808982331
     1     367     0.08420     0.05081     0.44916    0.863295951    0.054990665   -0.808305286
     1     367     0.07017     0.05081     0.44916    0.864334794    0.056559420   -0.807775374
     1     367     0.05613     0.05081     0.44916    0.865352132    0.059774432   -0.805577700
     1     367     0.04210     0.05081     0.44916    0.866196939    0.061441082   -0.804755857
     1     367     0.02807     0.05081     0.44916    0.866833686    0.061646724   -0.805186962
     1     367     0.01403     0.05081     0.44916    0.867240161    0.060235841   -0.807004320
     1     367     0.00000     0.05081     0.44916    0.867407071    0.059954869   -0.807452202
     1     367     0.00000     0.04234     0.44916    0.867511500    0.059871302   -0.807640198
     1     367     0.00000     0.03387     0.44916    0.867901879    0.060042021   -0.807859858
     1     367     0.00000     0.02541     0.44916    0.868360474    0.060256181   -0.808104293
     1     367     0.00000     0.01694     0.44916    0.868809070    0.060483745   -0.808325325
     1     367     0.00000     0.00847     0.44916    0.869105277    0.060627390   -0.808477887
     1     367     0.00000     0.00000     0.44916    0.869245006    0.060713006   -0.808532000
     1     367     0.08420     0.00000     0.00000    1.360123926    0.636640926   -0.723483000
