# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      81     0.00000    -0.16139    -0.05710   -3.665295425   -5.452353425   -1.787058000
     1      81     0.00000    -0.14525    -0.05139   -3.659736196   -5.443054614   -1.783318419
     1      81     0.00000    -0.12911    -0.04568   -3.647615007   -5.424835281   -1.777220274
     1      81     0.00000    -0.11297    -0.03997   -3.637454003   -5.405914348   -1.768460345
     1      81     0.00000    -0.09683    -0.03426   -3.633700099   -5.391869525   -1.758169426
     1      81     0.00000    -0.08069    -0.02855   -3.639435650   -5.387293110   -1.747857459
     1      81     0.00000    -0.06455    -0.02284   -3.656375558   -5.392894837   -1.736519278
     1      81     0.00000    -0.04842    -0.01713   -3.679019425   -5.403182168   -1.724162743
     1      81     0.00000    -0.03228    -0.01142   -3.702306223   -5.409852628   -1.707546406
     1      81     0.00000    -0.01614    -0.00571   -3.722849870   -5.397596686   -1.674746817
     1      81     0.00000     0.00000     0.00000   -3.733152309   -5.364960309   -1.631808000
     1      81     0.00000     0.00000     0.00000   -3.733152309   -5.364960309   -1.631808000
     1      81     0.01861    -0.00876     0.00356   -3.723758849   -5.388620217   -1.664861368
     1      81     0.03722    -0.01752     0.00713   -3.702367282   -5.402953851   -1.700586569
     1      81     0.05583    -0.02628     0.01069   -3.676266589   -5.389534021   -1.713267433
     1      81     0.07444    -0.03505     0.01425   -3.659923106   -5.410041498   -1.750118392
     1      81     0.09305    -0.04381     0.01782   -3.668361329   -5.427440329   -1.759079000
     1      81     0.11166    -0.05257     0.02138   -3.680673730   -5.440526940   -1.759853210
     1      81     0.13028    -0.06133     0.02495   -3.690654135   -5.459103693   -1.768449559
     1      81     0.14889    -0.07009     0.02851   -3.691252902   -5.460985355   -1.769732453
     1      81     0.16750    -0.07885     0.03207   -3.682214128   -5.448201872   -1.765987743
     1      81     0.18611    -0.08761     0.03564   -3.675662471   -5.446221471   -1.770559000
     1      81     0.18611    -0.24900    -0.02147   -3.651696380   -5.406327380   -1.754631000
     1      81     0.16750    -0.22410    -0.01932   -3.660007404   -5.410675848   -1.750668444
     1      81     0.14889    -0.19920    -0.01717   -3.672669124   -5.426532229   -1.753863105
     1      81     0.13028    -0.17430    -0.01503   -3.687375344   -5.447798696   -1.760423352
     1      81     0.11166    -0.14940    -0.01288   -3.685783984   -5.483498123   -1.797714139
     1      81     0.09305    -0.12450    -0.01073   -3.657032470   -5.431057217   -1.774024746
     1      81     0.07444    -0.09960    -0.00859   -3.650499001   -5.427073076   -1.776574075
     1      81     0.05583    -0.07470    -0.00644   -3.681557867   -5.447696776   -1.766138908
     1      81     0.03722    -0.04980    -0.00429   -3.709969845   -5.416719195   -1.706749351
     1      81     0.01861    -0.02490    -0.00215   -3.727288247   -5.366177214   -1.638888967
     1      81     0.00000     0.00000     0.00000   -3.733152309   -5.364960309   -1.631808000
     1      81     0.00000     0.00000     0.00000   -3.733152309   -5.364960309   -1.631808000
     1      81    -0.01861     0.00876    -0.01968   -3.715067739   -5.398354400   -1.683286661
     1      81    -0.03722     0.01752    -0.03935   -3.687294732   -5.402730839   -1.715436107
     1      81    -0.05583     0.02628    -0.05903   -3.682875733   -5.440390816   -1.757515083
     1      81    -0.07444     0.03505    -0.07870   -3.694679131   -5.452141622   -1.757462491
     1      81    -0.09305     0.04381    -0.09838   -3.708730794   -5.494889642   -1.786158849
     1      81    -0.11166     0.05257    -0.11806   -3.682675225   -5.505998666   -1.823323441
     1      81    -0.13028     0.06133    -0.13773   -3.690186518   -5.502099247   -1.811912730
     1      81    -0.14889     0.07009    -0.15741   -3.697776816   -5.527936963   -1.830160147
     1      81    -0.16750     0.07885    -0.17709   -3.698316794   -5.570124193   -1.871807399
     1      81    -0.18611     0.08761    -0.19676   -3.703465872   -5.590961872   -1.887496000
     1      81    -0.18611    -0.07377    -0.25387   -3.691396246   -5.467346246   -1.775950000
     1      81    -0.16750    -0.06639    -0.22848   -3.699492092   -5.526859791   -1.827367699
     1      81    -0.14889    -0.05902    -0.20309   -3.717596854   -5.539041394   -1.821444541
     1      81    -0.13028    -0.05164    -0.17771   -3.725412890   -5.499143955   -1.773731065
     1      81    -0.11166    -0.04426    -0.15232   -3.717097284   -5.491644005   -1.774546721
     1      81    -0.09305    -0.03689    -0.12693   -3.706507563   -5.467572674   -1.761065110
     1      81    -0.07444    -0.02951    -0.10155   -3.696164946   -5.447945694   -1.751780748
     1      81    -0.05583    -0.02213    -0.07616   -3.682217099   -5.448371293   -1.766154194
     1      81    -0.03722    -0.01475    -0.05077   -3.663848918   -5.407442719   -1.743593801
     1      81    -0.01861    -0.00738    -0.02539   -3.696082882   -5.410817833   -1.714734952
     1      81     0.00000     0.00000     0.00000   -3.733152309   -5.364960309   -1.631808000
     1      81     0.00000     0.00000     0.00000   -3.733152309   -5.364960309   -1.631808000
