# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     419     0.00000     0.00000     0.00000    0.081068377   -0.870919623   -0.951988000
     1     419     0.00000     0.00000    -0.00918    0.080311086   -0.872880428   -0.953191514
     1     419     0.00000     0.00000    -0.01835    0.078282553   -0.877137635   -0.955420188
     1     419     0.00000     0.00000    -0.02753    0.075469267   -0.882309804   -0.957779070
     1     419     0.00000     0.00000    -0.03671    0.073397685   -0.890836952   -0.964234637
     1     419     0.00000     0.00000    -0.04589    0.074443234   -0.898426431   -0.972869665
     1     419     0.00000     0.00000    -0.05506    0.077587412   -0.896461249   -0.974048661
     1     419     0.00000     0.12378     0.00000    0.081681144   -0.916085856   -0.997767000
     1     419     0.00000     0.10315     0.00000    0.079985541   -0.906797348   -0.986782889
     1     419     0.00000     0.08252     0.00000    0.077403112   -0.897340049   -0.974743160
     1     419     0.00000     0.06189     0.00000    0.076235684   -0.889660614   -0.965896298
     1     419     0.00000     0.04126     0.00000    0.078118547   -0.889151933   -0.967270481
     1     419     0.00000     0.02063     0.00000    0.080829519   -0.871563183   -0.952392702
     1     419     0.00000     0.00000     0.00000    0.081068377   -0.870919623   -0.951988000
     1     419     0.03581     0.00027     0.00000    0.080858209   -0.872174794   -0.953033002
     1     419     0.07162     0.00055     0.00000    0.079390847   -0.878114281   -0.957505128
     1     419     0.10743     0.00082     0.00000    0.075460348   -0.884470652   -0.959931000
     1     419     0.14324     0.00110     0.00000    0.067219327   -0.886891234   -0.954110560
     1     419     0.17905     0.00137     0.00000    0.052771213   -0.905034775   -0.957805988
     1     419     0.21486     0.00164     0.00000    0.055393339   -0.887852661   -0.943246000
     1     419     0.21486    -0.12214     0.05506    0.056540451   -0.912035834   -0.968576285
     1     419     0.17905    -0.10178     0.04589    0.053259122   -0.900733854   -0.953992975
     1     419     0.14324    -0.08143     0.03671    0.056926851   -0.904193301   -0.961120152
     1     419     0.10743    -0.06107     0.02753    0.065799341   -0.899585881   -0.965385222
     1     419     0.07162    -0.04071     0.01835    0.073189570   -0.890344104   -0.963533675
     1     419     0.03581    -0.02036     0.00918    0.078540438   -0.883694594   -0.962235032
     1     419     0.00000     0.00000     0.00000    0.081068377   -0.870919623   -0.951988000
     1     419     0.03581    -0.02036     0.00000    0.080067979   -0.889818039   -0.969886018
     1     419     0.07162    -0.04071     0.00000    0.077466587   -0.881557815   -0.959024402
     1     419     0.10743    -0.06107     0.00000    0.072663071   -0.889331346   -0.961994417
     1     419     0.14324    -0.08143     0.00000    0.066696337   -0.902064251   -0.968760588
     1     419     0.17905    -0.10178     0.00000    0.061834243   -0.919722480   -0.981556723
     1     419     0.21486    -0.12214     0.00000    0.061459869   -0.923023131   -0.984483000
     1     419     0.21486     0.00164     0.05506    0.058341234   -0.891529523   -0.949870758
     1     419     0.17905     0.00137     0.04589    0.055431314   -0.900936436   -0.956367750
     1     419     0.14324     0.00110     0.03671    0.060530673   -0.897792847   -0.958323520
     1     419     0.10743     0.00082     0.02753    0.069877151   -0.895275555   -0.965152706
     1     419     0.07162     0.00055     0.01835    0.075748675   -0.886451583   -0.962200258
     1     419     0.03581     0.00027     0.00918    0.079889536   -0.875471494   -0.955361030
     1     419     0.00000     0.00000     0.00000    0.081068377   -0.870919623   -0.951988000
     1     419     0.00000    -0.02063    -0.00918    0.079724307   -0.877460984   -0.957185291
     1     419     0.00000    -0.04126    -0.01835    0.075228746   -0.887061127   -0.962289872
     1     419     0.00000    -0.06189    -0.02753    0.071601030   -0.894977491   -0.966578522
     1     419     0.00000    -0.08252    -0.03671    0.069949626   -0.902130635   -0.972080261
     1     419     0.00000    -0.10315    -0.04589    0.069408806   -0.906052858   -0.975461665
     1     419     0.00000    -0.12378    -0.05506    0.069824993   -0.903191085   -0.973016078
     1     420     0.00000     0.00000     0.00000    0.084577390   -0.877322610   -0.961900000
     1     420     0.00000     0.00000    -0.00918    0.084414221   -0.877442571   -0.961856792
     1     420     0.00000     0.00000    -0.01835    0.084025844   -0.877724443   -0.961750286
     1     420     0.00000     0.00000    -0.02753    0.083413256   -0.878235235   -0.961648490
     1     420     0.00000     0.00000    -0.03671    0.082591062   -0.879379854   -0.961970916
     1     420     0.00000     0.00000    -0.04589    0.080995953   -0.885028560   -0.966024513
     1     420     0.00000     0.00000    -0.05506    0.077718911   -0.896919164   -0.974638074
     1     420     0.00000     0.12378     0.00000    0.083085873   -0.880466127   -0.963552000
     1     420     0.00000     0.10315     0.00000    0.081586252   -0.883703733   -0.965289985
     1     420     0.00000     0.08252     0.00000    0.080404534   -0.883708546   -0.964113080
     1     420     0.00000     0.06189     0.00000    0.080036374   -0.880391155   -0.960427530
     1     420     0.00000     0.04126     0.00000    0.080353671   -0.875121109   -0.955474779
     1     420     0.00000     0.02063     0.00000    0.081679701   -0.886149720   -0.967829421
     1     420     0.00000     0.00000     0.00000    0.084577390   -0.877322610   -0.961900000
     1     420     0.03581     0.00027     0.00000    0.082980763   -0.886712884   -0.969693646
     1     420     0.07162     0.00055     0.00000    0.080983140   -0.892306039   -0.973289179
     1     420     0.10743     0.00082     0.00000    0.078030501   -0.897290499   -0.975321000
     1     420     0.14324     0.00110     0.00000    0.074156222   -0.897034273   -0.971190495
     1     420     0.17905     0.00137     0.00000    0.067896165   -0.884383231   -0.952279396
     1     420     0.21486     0.00164     0.00000    0.055451665   -0.887916335   -0.943368000
     1     420     0.21486    -0.12214     0.05506    0.056641896   -0.911409598   -0.968051494
     1     420     0.17905    -0.10178     0.04589    0.055973546   -0.918840301   -0.974813846
     1     420     0.14324    -0.08143     0.03671    0.059791622   -0.906687034   -0.966478656
     1     420     0.10743    -0.06107     0.02753    0.069397837   -0.895865257   -0.965263094
     1     420     0.07162    -0.04071     0.01835    0.079178633   -0.890692654   -0.969871286
     1     420     0.03581    -0.02036     0.00918    0.081229165   -0.881567566   -0.962796731
     1     420     0.00000     0.00000     0.00000    0.084577390   -0.877322610   -0.961900000
     1     420     0.03581    -0.02036     0.00000    0.080270196   -0.874711835   -0.954982031
     1     420     0.07162    -0.04071     0.00000    0.077924110   -0.894943964   -0.972868074
     1     420     0.10743    -0.06107     0.00000    0.073986867   -0.898942578   -0.972929444
     1     420     0.14324    -0.08143     0.00000    0.067870594   -0.906122747   -0.973993341
     1     420     0.17905    -0.10178     0.00000    0.062619263   -0.911917869   -0.974537132
     1     420     0.21486    -0.12214     0.00000    0.061570150   -0.922762850   -0.984333000
     1     420     0.21486     0.00164     0.05506    0.058509618   -0.891394502   -0.949904120
     1     420     0.17905     0.00137     0.04589    0.060746464   -0.894876076   -0.955622540
     1     420     0.14324     0.00110     0.03671    0.064897281   -0.894716111   -0.959613392
     1     420     0.10743     0.00082     0.02753    0.073343925   -0.888905672   -0.962249597
     1     420     0.07162     0.00055     0.01835    0.080873373   -0.884923642   -0.965797015
     1     420     0.03581     0.00027     0.00918    0.083184173   -0.883552341   -0.966736514
     1     420     0.00000     0.00000     0.00000    0.084577390   -0.877322610   -0.961900000
     1     420     0.00000    -0.02063    -0.00918    0.082024972   -0.881166959   -0.963191931
     1     420     0.00000    -0.04126    -0.01835    0.081174085   -0.879583517   -0.960757602
     1     420     0.00000    -0.06189    -0.02753    0.082842395   -0.883635653   -0.966478048
     1     420     0.00000    -0.08252    -0.03671    0.075953119   -0.893058906   -0.969012026
     1     420     0.00000    -0.10315    -0.04589    0.071887600   -0.898925044   -0.970812644
     1     420     0.00000    -0.12378    -0.05506    0.069997170   -0.903389282   -0.973386452
     1     421     0.00000     0.00000     0.00000    0.086732823   -0.889277177   -0.976010000
     1     421     0.00000     0.00000    -0.00918    0.086534274   -0.887751459   -0.974285733
     1     421     0.00000     0.00000    -0.01835    0.086023034   -0.884702569   -0.970725603
     1     421     0.00000     0.00000    -0.02753    0.085261288   -0.882094160   -0.967355448
     1     421     0.00000     0.00000    -0.03671    0.084434327   -0.880319171   -0.964753498
     1     421     0.00000     0.00000    -0.04589    0.083862054   -0.878709924   -0.962571978
     1     421     0.00000     0.00000    -0.05506    0.083745428   -0.878355879   -0.962101308
     1     421     0.00000     0.12378     0.00000    0.084111161   -0.884285839   -0.968397000
     1     421     0.00000     0.10315     0.00000    0.086384704   -0.888743612   -0.975128316
     1     421     0.00000     0.08252     0.00000    0.088877148   -0.887912787   -0.976789935
     1     421     0.00000     0.06189     0.00000    0.090658892   -0.876950080   -0.967608972
     1     421     0.00000     0.04126     0.00000    0.090695936   -0.875101634   -0.965797570
     1     421     0.00000     0.02063     0.00000    0.088961540   -0.880464062   -0.969425602
     1     421     0.00000     0.00000     0.00000    0.086732823   -0.889277177   -0.976010000
     1     421     0.03581     0.00027     0.00000    0.091581624   -0.877822219   -0.969403843
     1     421     0.07162     0.00055     0.00000    0.097243589   -0.880474754   -0.977718343
     1     421     0.10743     0.00082     0.00000    0.097149685   -0.832247315   -0.929397000
     1     421     0.14324     0.00110     0.00000    0.081633499   -0.858344163   -0.939977662
     1     421     0.17905     0.00137     0.00000    0.075073095   -0.883817497   -0.958890592
     1     421     0.21486     0.00164     0.00000    0.074965338   -0.886877662   -0.961843000
     1     421     0.21486    -0.12214     0.05506    0.064897735   -0.873100773   -0.937998508
     1     421     0.17905    -0.10178     0.04589    0.071773081   -0.866277379   -0.938050460
     1     421     0.14324    -0.08143     0.03671    0.084392145   -0.865067499   -0.949459644
     1     421     0.10743    -0.06107     0.02753    0.091418238   -0.865334176   -0.956752414
     1     421     0.07162    -0.04071     0.01835    0.094717648   -0.867412369   -0.962130017
     1     421     0.03581    -0.02036     0.00918    0.093765929   -0.873932603   -0.967698532
     1     421     0.00000     0.00000     0.00000    0.086732823   -0.889277177   -0.976010000
     1     421     0.03581    -0.02036     0.00000    0.094031092   -0.874024283   -0.968055375
     1     421     0.07162    -0.04071     0.00000    0.097456690   -0.869642096   -0.967098786
