# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     153     0.00000     0.00000     0.00000   -0.864644586   -1.989066830   -1.124422244
     1     153     0.00000     0.00000     0.00519   -0.864505428   -1.989273117   -1.124767689
     1     153     0.00000     0.00000     0.01038   -0.864021974   -1.989824710   -1.125802736
     1     153     0.00000     0.00000     0.01557   -0.863235122   -1.990750789   -1.127515668
     1     153     0.00000     0.00000     0.02076   -0.862149754   -1.992038926   -1.129889172
     1     153     0.00000     0.00000     0.02595   -0.860849498   -1.993766940   -1.132917443
     1     153     0.00000     0.00000     0.03114   -0.859348872   -1.995953430   -1.136604558
     1     153     0.00000     0.00000     0.03633   -0.857669111   -1.998649735   -1.140980624
     1     153     0.00000     0.00000     0.04152   -0.855880263   -2.001964876   -1.146084612
     1     153     0.00000     0.00000     0.04671   -0.854050219   -2.006017932   -1.151967712
     1     153     0.00000     0.00000     0.05190   -0.852200854   -2.079890014   -1.227689160
     1     153     0.00000     0.00000     0.05190   -0.852200854   -2.079890014   -1.227689160
     1     153     0.01638     0.00000     0.05190   -0.856496382   -2.131886622   -1.275390240
     1     153     0.03276     0.00000     0.05190   -0.858804751   -2.106532399   -1.247727647
     1     153     0.04914     0.00000     0.05190   -0.859162986   -2.068170921   -1.209007935
     1     153     0.06552     0.00000     0.05190   -0.858799419   -2.043449845   -1.184650427
     1     153     0.08190     0.00000     0.05190   -0.861617894   -2.083688418   -1.222070524
     1     153     0.09828     0.00000     0.05190   -0.884074545   -2.273700453   -1.389625908
     1     153     0.11466     0.00000     0.05190   -0.932188530   -2.399379437   -1.467190906
     1     153     0.13105     0.00000     0.05190   -0.984073891   -2.333791315   -1.349717424
     1     153     0.14743     0.00000     0.05190   -0.999305907   -2.209334567   -1.210028660
     1     153     0.16381     0.00000     0.05190   -0.996903712   -2.199928822   -1.203025110
     1     153     0.16381     0.00000     0.05190   -0.996903712   -2.199928822   -1.203025110
     1     153     0.16383     0.00000     0.05184   -0.996904259   -2.200900815   -1.203996556
     1     153     0.16385     0.00000     0.05178   -0.996905036   -2.201431734   -1.204526699
     1     153     0.16386     0.00000     0.05172   -0.996905682   -2.202205390   -1.205299708
     1     153     0.16388     0.00000     0.05166   -0.996906373   -2.202688032   -1.205781659
     1     153     0.16390     0.00000     0.05160   -0.996906842   -2.203486244   -1.206579403
     1     153     0.16392     0.00000     0.05154   -0.996907810   -2.203385171   -1.206477361
     1     153     0.16394     0.00000     0.05147   -0.996907673   -2.204660537   -1.207752863
     1     153     0.16396     0.00000     0.05141   -0.996908184   -2.206127107   -1.209218924
     1     153     0.16398     0.00000     0.05135   -0.996908321   -2.206692260   -1.209783939
     1     153     0.16400     0.00000     0.05129   -0.996908363   -2.207514680   -1.210606316
     1     153     0.16400     0.00000     0.05129   -0.996908363   -2.207514680   -1.210606316
     1     153     0.16400     0.04426     0.05129   -1.015202193   -2.292961912   -1.277759719
     1     153     0.16400     0.08852     0.05129   -1.032811153   -2.407024389   -1.374213236
     1     153     0.16400     0.13277     0.05129   -1.083667680   -2.484984936   -1.401317256
     1     153     0.16400     0.17703     0.05129   -1.154753755   -2.631052709   -1.476298953
     1     153     0.16400     0.22129     0.05129   -1.158228304   -2.659274414   -1.501046110
     1     153     0.16400     0.26555     0.05129   -1.162712856   -2.659161970   -1.496449114
     1     153     0.16400     0.30981     0.05129   -1.168105679   -2.655550999   -1.487445320
     1     153     0.16400     0.35406     0.05129   -1.172381336   -2.654281795   -1.481900458
     1     153     0.16400     0.39832     0.05129   -1.171746440   -2.624572267   -1.452825828
     1     153     0.16400     0.44258     0.05129   -1.171052568   -2.608736410   -1.437683842
     1     153     0.16400     0.44258     0.05129   -1.171052568   -2.608736410   -1.437683842
     1     153     0.16402     0.44258     0.05123   -1.171025594   -2.608795632   -1.437770039
     1     153     0.16404     0.44258     0.05117   -1.171031213   -2.608914886   -1.437883674
     1     153     0.16406     0.44258     0.05111   -1.171031070   -2.609031174   -1.438000104
     1     153     0.16408     0.44258     0.05104   -1.171030865   -2.609148029   -1.438117164
     1     153     0.16410     0.44258     0.05098   -1.171025970   -2.609260617   -1.438234646
     1     153     0.16411     0.44258     0.05092   -1.171025593   -2.609376308   -1.438350715
     1     153     0.16413     0.44258     0.05086   -1.171025399   -2.609493809   -1.438468410
     1     153     0.16415     0.44258     0.05080   -1.171028564   -2.609611578   -1.438583014
     1     153     0.16417     0.44258     0.05074   -1.171053105   -2.609777383   -1.438724278
     1     153     0.16419     0.44258     0.05068   -1.171051423   -2.609895046   -1.438843622
     1     153     0.16419     0.44258     0.05068   -1.171051423   -2.609895046   -1.438843622
     1     153     0.16417     0.44258     0.04555   -1.170462567   -2.621116964   -1.450654396
     1     153     0.16415     0.44258     0.04042   -1.169253813   -2.628966963   -1.459713150
     1     153     0.16413     0.44258     0.03529   -1.167895519   -2.634012609   -1.466117091
     1     153     0.16411     0.44258     0.03016   -1.166669132   -2.637601583   -1.470932450
     1     153     0.16410     0.44258     0.02503   -1.165625757   -2.640261603   -1.474635846
     1     153     0.16408     0.44258     0.01990   -1.164796564   -2.642226269   -1.477429705
     1     153     0.16406     0.44258     0.01477   -1.164210641   -2.643636518   -1.479425877
     1     153     0.16404     0.44258     0.00964   -1.163817355   -2.644555733   -1.480738378
     1     153     0.16402     0.44258     0.00451   -1.163613744   -2.645083496   -1.481469751
     1     153     0.16400     0.44258    -0.00061   -1.163511453   -2.645215570   -1.481704117
     1     153     0.16400     0.44258    -0.00061   -1.163511453   -2.645215570   -1.481704117
     1     153     0.16400     0.39832    -0.00061   -1.167560692   -2.650739818   -1.483179127
     1     153     0.16400     0.35406    -0.00061   -1.166598271   -2.689536642   -1.522938371
     1     153     0.16400     0.30981    -0.00061   -1.163770239   -2.689037334   -1.525267095
     1     153     0.16400     0.26555    -0.00061   -1.157212004   -2.664289532   -1.507077527
     1     153     0.16400     0.22129    -0.00061   -1.149859503   -2.659904148   -1.510044645
     1     153     0.16400     0.17703    -0.00061   -1.147542557   -2.617310456   -1.469767899
