# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     123     0.00000     0.00000     0.00000   -0.701399823   -2.006350823   -1.304951000
     1     123     0.00000     0.02978     0.00000   -0.701626794   -2.006627618   -1.305000824
     1     123     0.00000     0.05955     0.00000   -0.693319507   -1.877195696   -1.183876189
     1     123     0.00000     0.08933     0.00000   -0.645286438   -1.868495167   -1.223208728
     1     123     0.00000     0.11911     0.00000   -0.622785341   -1.879960099   -1.257174758
     1     123     0.00000     0.14888     0.00000   -0.613879361   -1.807163846   -1.193284485
     1     123     0.00000     0.17866     0.00000   -0.619669276   -1.855453498   -1.235784222
     1     123     0.00000     0.20843     0.00000   -0.566935840   -1.786244032   -1.219308191
     1     123     0.00000     0.23821     0.00000   -0.557896797   -1.828671810   -1.270775013
     1     123     0.00000     0.26799     0.00000   -0.553161512   -1.864305734   -1.311144222
     1     123     0.00000     0.29776     0.00000   -0.549180294   -1.877188199   -1.328007905
     1     123     0.00000     0.32754     0.00000   -0.544189284   -1.872640284   -1.328451000
     1     123     0.00000     0.32754     0.01530   -0.546002571   -1.874299902   -1.328297332
     1     123     0.00000     0.32754     0.03061   -0.551693759   -1.880466579   -1.328772821
     1     123     0.00000     0.32754     0.04591   -0.561525964   -1.893286320   -1.331760356
     1     123     0.00000     0.32754     0.06121   -0.575109680   -1.914451177   -1.339341496
     1     123     0.00000     0.32754     0.07651   -0.590981746   -1.946207138   -1.355225392
     1     123     0.00000     0.32754     0.09182   -0.605522152   -1.982954993   -1.377432841
     1     123     0.00000     0.32754     0.10712   -0.612034116   -2.002235116   -1.390201000
     1     123     0.00000     0.29776     0.10712   -0.605693896   -1.980703446   -1.375009550
     1     123     0.00000     0.26799     0.10712   -0.589124323   -1.917071171   -1.327946847
     1     123     0.00000     0.23821     0.10712   -0.566620794   -1.848437516   -1.281816722
     1     123     0.00000     0.20843     0.10712   -0.541999789   -1.797641972   -1.255642183
     1     123     0.00000     0.17866     0.10712   -0.526433632   -1.753061011   -1.226627380
     1     123     0.00000     0.14888     0.10712   -0.598956813   -1.805760640   -1.206803828
     1     123     0.00000     0.11911     0.10712   -0.637384780   -1.870471548   -1.233086767
     1     123     0.00000     0.08933     0.10712   -0.659393952   -1.900687391   -1.241293439
     1     123     0.00000     0.05955     0.10712   -0.695790953   -1.908904974   -1.213114022
     1     123     0.00000     0.02978     0.10712   -0.741455132   -1.930386054   -1.188930922
     1     123     0.00000     0.00000     0.10712   -0.779147025   -1.970534025   -1.191387000
     1     123     0.00000     0.00000     0.09182   -0.792811532   -1.987800795   -1.194989263
     1     123     0.00000     0.00000     0.07651   -0.797139439   -2.001952295   -1.204812856
     1     123     0.00000     0.00000     0.06121   -0.774829087   -2.034763264   -1.259934177
     1     123     0.00000     0.00000     0.04591   -0.749403605   -2.023951185   -1.274547580
     1     123     0.00000     0.00000     0.03061   -0.726331507   -2.005869911   -1.279538404
     1     123     0.00000     0.00000     0.01530   -0.708730754   -2.000742128   -1.292011375
     1     123     0.00000     0.00000     0.00000   -0.701399823   -2.006350823   -1.304951000
     1     123    -0.02041     0.04679     0.01527   -0.709697463   -2.005760860   -1.296063396
     1     123    -0.04082     0.09358     0.03055   -0.652819365   -1.903192651   -1.250373286
     1     123    -0.06123     0.14037     0.04582   -0.641726733   -1.936603369   -1.294876636
     1     123    -0.08164     0.18717     0.06109   -0.589336693   -1.880934820   -1.291598128
     1     123    -0.10206     0.23396     0.07636   -0.607479896   -1.883175754   -1.275695858
     1     123    -0.12247     0.28075     0.09164   -0.611881355   -1.980189468   -1.368308113
     1     123    -0.14288     0.32754     0.10691   -0.614265631   -2.006886631   -1.392621000
     1     123    -0.14288     0.32754     0.10691   -0.614265631   -2.006886631   -1.392621000
     1     123    -0.14288     0.32754     0.10691   -0.614265631   -2.006886631   -1.392621000
     1     123    -0.14288     0.32754     0.10691   -0.614265631   -2.006886631   -1.392621000
     1     123    -0.14288     0.32754     0.10691   -0.614265631   -2.006886631   -1.392621000
     1     123    -0.14288     0.32754     0.10691   -0.614265631   -2.006886631   -1.392621000
     1     123    -0.14288     0.32754     0.10691   -0.614265631   -2.006886631   -1.392621000
     1     123    -0.14288     0.32754     0.10691   -0.614265631   -2.006886631   -1.392621000
     1     123    -0.14288     0.32754     0.10691   -0.614265631   -2.006886631   -1.392621000
     1     123    -0.14288     0.32754     0.10691   -0.614265631   -2.006886631   -1.392621000
     1     123    -0.14288     0.32754     0.10691   -0.614265631   -2.006886631   -1.392621000
     1     123    -0.14288     0.32754     0.10691   -0.614265631   -2.006886631   -1.392621000
     1     123    -0.12247     0.32754     0.09164   -0.604890970   -1.984470491   -1.379579521
     1     123    -0.10206     0.32754     0.07636   -0.592771134   -1.952173967   -1.359402834
     1     123    -0.08164     0.32754     0.06109   -0.595939739   -1.942488263   -1.346548524
     1     123    -0.06123     0.32754     0.04582   -0.603883008   -1.947420395   -1.343537387
     1     123    -0.04082     0.32754     0.03055   -0.583902235   -1.911903772   -1.328001536
