# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      91     0.00000     0.00000     0.00000   -1.978025545   -3.294547545   -1.316522000
     1      91    -0.02929    -0.00298    -0.00112   -1.968597579   -3.293447803   -1.324850224
     1      91    -0.05858    -0.00596    -0.00223   -1.945312082   -3.267289506   -1.321977423
     1      91    -0.08788    -0.00894    -0.00335   -1.914374913   -3.219609759   -1.305234846
     1      91    -0.11717    -0.01192    -0.00447   -1.879446484   -3.175949763   -1.296503279
     1      91    -0.14646    -0.01490    -0.00558   -1.843285186   -3.139847960   -1.296562775
     1      91    -0.17575    -0.01788    -0.00670   -1.808790229   -3.114233224   -1.305442995
     1      91    -0.20505    -0.02086    -0.00781   -1.779576475   -3.126589292   -1.347012817
     1      91    -0.23434    -0.02384    -0.00893   -1.762611741   -3.181164867   -1.418553126
     1      91    -0.26363    -0.02683    -0.01005   -1.758648536   -3.186797536   -1.428149000
     1      91     0.00000     0.00000    -0.10214   -1.985529488   -3.298815488   -1.313286000
     1      91     0.00000     0.00000    -0.08172   -1.985806870   -3.301326651   -1.315519781
     1      91     0.00000     0.00000    -0.06129   -1.985934453   -3.312589992   -1.326655539
     1      91     0.00000     0.00000    -0.04086   -1.984364925   -3.321258105   -1.336893179
     1      91     0.00000     0.00000    -0.02043   -1.980617962   -3.308548960   -1.327930998
     1      91     0.00000     0.00000     0.00000   -1.978025545   -3.294547545   -1.316522000
     1      91     0.00000    -0.03101    -0.00488   -1.961735057   -3.298292007   -1.336556950
     1      91     0.00000    -0.06203    -0.00977   -1.929424732   -3.265954657   -1.336529925
     1      91     0.00000    -0.09304    -0.01465   -1.891353081   -3.218308874   -1.326955793
     1      91     0.00000    -0.12406    -0.01953   -1.849724119   -3.176612528   -1.326888409
     1      91     0.00000    -0.15507    -0.02441   -1.806579523   -3.139948697   -1.333369174
     1      91     0.00000    -0.18609    -0.02930   -1.769871214   -3.175188570   -1.405317356
     1      91     0.00000    -0.21710    -0.03418   -1.758988005   -3.204356005   -1.445368000
     1      91     0.26363    -0.19028     0.07801   -1.933168788   -3.242178788   -1.309010000
     1      91     0.23434    -0.16914     0.06934   -1.923877780   -3.233174589   -1.309296809
     1      91     0.20505    -0.14799     0.06068   -1.900012459   -3.207447649   -1.307435190
     1      91     0.17575    -0.12685     0.05201   -1.874036400   -3.168412154   -1.294375754
     1      91     0.14646    -0.10571     0.04334   -1.862692232   -3.147621994   -1.284929761
     1      91     0.11717    -0.08457     0.03467   -1.874044100   -3.162381818   -1.288337718
     1      91     0.08788    -0.06343     0.02600   -1.902627405   -3.205645139   -1.303017735
     1      91     0.05858    -0.04228     0.01734   -1.936952866   -3.255941282   -1.318988415
     1      91     0.02929    -0.02114     0.00867   -1.965833600   -3.286670585   -1.320836985
     1      91     0.00000     0.00000     0.00000   -1.978025545   -3.294547545   -1.316522000
     1      91     0.00000    -0.02412     0.00755   -1.969963137   -3.296556384   -1.326593248
     1      91     0.00000    -0.04825     0.01510   -1.951228593   -3.290826832   -1.339598238
     1      91     0.00000    -0.07237     0.02266   -1.927931219   -3.276420040   -1.348488821
     1      91     0.00000    -0.09649     0.03021   -1.902639566   -3.255275458   -1.352635892
     1      91     0.00000    -0.12061     0.03776   -1.877112976   -3.234664152   -1.357551176
     1      91     0.00000    -0.14474     0.04531   -1.853944234   -3.225189071   -1.371244837
     1      91     0.00000    -0.16886     0.05286   -1.836889937   -3.230341319   -1.393451382
     1      91     0.00000    -0.19298     0.06041   -1.827742375   -3.231743622   -1.404001246
     1      91     0.00000    -0.21710     0.06797   -1.825043056   -3.231343056   -1.406300000
     1      91     0.26363    -0.19028    -0.02413   -2.010905287   -3.341091287   -1.330186000
     1      91     0.23434    -0.16914    -0.02145   -1.990540119   -3.335509826   -1.344969707
     1      91     0.20505    -0.14799    -0.01877   -1.948023158   -3.273631867   -1.325608709
     1      91     0.17575    -0.12685    -0.01609   -1.905825794   -3.185095891   -1.279270097
     1      91     0.14646    -0.10571    -0.01341   -1.882616270   -3.135016042   -1.252399772
     1      91     0.11717    -0.08457    -0.01073   -1.886210136   -3.138357146   -1.252147009
     1      91     0.08788    -0.06343    -0.00804   -1.908741736   -3.181459063   -1.272717327
     1      91     0.05858    -0.04228    -0.00536   -1.938157563   -3.246996152   -1.308838589
     1      91     0.02929    -0.02114    -0.00268   -1.964967870   -3.291429637   -1.326461767
     1      91     0.00000     0.00000     0.00000   -1.978025545   -3.294547545   -1.316522000
     1      91    -0.02929    -0.00298     0.01023   -1.970791037   -3.303336630   -1.332545593
     1      91    -0.05858    -0.00596     0.02047   -1.953817773   -3.300794156   -1.346976383
     1      91    -0.08788    -0.00894     0.03070   -1.930919082   -3.262853893   -1.331934812
     1      91    -0.11717    -0.01192     0.04093   -1.903128748   -3.223017204   -1.319888456
     1      91    -0.14646    -0.01490     0.05117   -1.871984710   -3.188773321   -1.316788611
     1      91    -0.17575    -0.01788     0.06140   -1.840374591   -3.152611600   -1.312237008
     1      91    -0.20505    -0.02086     0.07163   -1.815939376   -3.166882956   -1.350943579
     1      91    -0.23434    -0.02384     0.08186   -1.812371058   -3.214138484   -1.401767427
     1      91    -0.26363    -0.02683     0.09210   -1.814903178   -3.223032178   -1.408129000
     1      92     0.00000     0.00000     0.00000   -1.791306985   -3.265131985   -1.473825000
     1      92    -0.02929    -0.00298    -0.00112   -1.790143753   -3.263186750   -1.473042997
     1      92    -0.05858    -0.00596    -0.00223   -1.786845327   -3.256854983   -1.470009656
     1      92    -0.08788    -0.00894    -0.00335   -1.781684584   -3.250746437   -1.469061853
     1      92    -0.11717    -0.01192    -0.00447   -1.775332315   -3.245523717   -1.470191403
     1      92    -0.14646    -0.01490    -0.00558   -1.768304993   -3.238414168   -1.470109175
     1      92    -0.17575    -0.01788    -0.00670   -1.761271946   -3.214375818   -1.453103872
     1      92    -0.20505    -0.02086    -0.00781   -1.754411042   -3.166748206   -1.412337164
     1      92    -0.23434    -0.02384    -0.00893   -1.748016203   -3.183329523   -1.435313320
     1      92    -0.26363    -0.02683    -0.01005   -1.745970777   -3.199340777   -1.453370000
     1      92     0.00000     0.00000    -0.10214   -1.755769260   -3.227548260   -1.471779000
     1      92     0.00000     0.00000    -0.08172   -1.758385871   -3.224986103   -1.466600232
     1      92     0.00000     0.00000    -0.06129   -1.766381667   -3.219499167   -1.453117500
     1      92     0.00000     0.00000    -0.04086   -1.777398698   -3.231968994   -1.454570295
     1      92     0.00000     0.00000    -0.02043   -1.787131369   -3.256289539   -1.469158170
     1      92     0.00000     0.00000     0.00000   -1.791306985   -3.265131985   -1.473825000
     1      92     0.00000    -0.03101    -0.00488   -1.789959186   -3.260969477   -1.471010291
     1      92     0.00000    -0.06203    -0.00977   -1.785555866   -3.251387930   -1.465832064
     1      92     0.00000    -0.09304    -0.01465   -1.778626281   -3.245840628   -1.467214347
     1      92     0.00000    -0.12406    -0.01953   -1.770142885   -3.237199828   -1.467056943
     1      92     0.00000    -0.15507    -0.02441   -1.761189351   -3.209624741   -1.448435390
     1      92     0.00000    -0.18609    -0.02930   -1.752299932   -3.181793059   -1.429493127
     1      92     0.00000    -0.21710    -0.03418   -1.747097943   -3.197295943   -1.450198000
     1      92     0.26363    -0.19028     0.07801   -1.756052173   -3.232853173   -1.476801000
     1      92     0.23434    -0.16914     0.06934   -1.757364359   -3.232998267   -1.475633908
     1      92     0.20505    -0.14799     0.06068   -1.760333233   -3.229326930   -1.468993696
     1      92     0.17575    -0.12685     0.05201   -1.764767091   -3.214560071   -1.449792980
     1      92     0.14646    -0.10571     0.04334   -1.770286741   -3.210380106   -1.440093365
     1      92     0.11717    -0.08457     0.03467   -1.776740024   -3.217094177   -1.440354153
     1      92     0.08788    -0.06343     0.02600   -1.782904841   -3.233125237   -1.450220396
     1      92     0.05858    -0.04228     0.01734   -1.787504357   -3.256065005   -1.468560648
     1      92     0.02929    -0.02114     0.00867   -1.790418653   -3.263864547   -1.473445893
     1      92     0.00000     0.00000     0.00000   -1.791306985   -3.265131985   -1.473825000
     1      92     0.00000    -0.02412     0.00755   -1.791179232   -3.264625332   -1.473446100
     1      92     0.00000    -0.04825     0.01510   -1.790738179   -3.260224564   -1.469486386
     1      92     0.00000    -0.07237     0.02266   -1.789798286   -3.244869459   -1.455071173
     1      92     0.00000    -0.09649     0.03021   -1.787961631   -3.233788588   -1.445826958
     1      92     0.00000    -0.12061     0.03776   -1.785085435   -3.228169440   -1.443084005
