# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     113     0.00000     0.00000     0.00000   -1.388801653   -2.950327653   -1.561526000
     1     113     0.00000     0.05007     0.00000   -1.378779166   -2.937710160   -1.558930993
     1     113     0.00000     0.10015     0.00000   -1.355197624   -2.991460328   -1.636262704
     1     113     0.00000     0.15022     0.00000   -1.321052091   -2.958533091   -1.637481000
     1     113     0.00000     0.20029     0.00000   -1.302924223   -2.969094221   -1.666169998
     1     113     0.00000     0.25036     0.00000   -1.323892407   -3.055318822   -1.731426416
     1     113     0.00000     0.30044     0.00000   -1.330741577   -3.075649577   -1.744908000
     1     113     0.00000     0.00000    -0.21851   -1.347096856   -2.944278856   -1.597182000
     1     113     0.00000     0.00000    -0.18209   -1.354687746   -2.946845125   -1.592157378
     1     113     0.00000     0.00000    -0.14567   -1.356671320   -2.970477405   -1.613806085
     1     113     0.00000     0.00000    -0.10926   -1.366624945   -2.985593945   -1.618969000
     1     113     0.00000     0.00000    -0.07284   -1.378769820   -2.997231936   -1.618462116
     1     113     0.00000     0.00000    -0.03642   -1.386378950   -2.951777889   -1.565398939
     1     113     0.00000     0.00000     0.00000   -1.388801653   -2.950327653   -1.561526000
     1     113     0.01253     0.00000     0.00198   -1.390495197   -2.953832861   -1.563337664
     1     113     0.02506     0.00000     0.00396   -1.381584766   -2.990896628   -1.609311862
     1     113     0.03759     0.00000     0.00593   -1.378169381   -2.942652109   -1.564482728
     1     113     0.05012     0.00000     0.00791   -1.381031442   -2.927012379   -1.545980937
     1     113     0.06265     0.00000     0.00989   -1.384319084   -2.926809220   -1.542490136
     1     113     0.07518     0.00000     0.01187   -1.385655434   -2.927394977   -1.541739543
     1     113     0.07518    -0.30044     0.23038   -1.290947335   -2.987162807   -1.696215472
     1     113     0.06265    -0.25036     0.19198   -1.294497893   -2.966205849   -1.671707956
     1     113     0.05012    -0.20029     0.15359   -1.302336642   -2.959608822   -1.657272179
     1     113     0.03759    -0.15022     0.11519   -1.320054960   -2.956005358   -1.635950398
     1     113     0.02506    -0.10015     0.07679   -1.349754939   -2.987929685   -1.638174745
     1     113     0.01253    -0.05007     0.03840   -1.372416096   -2.942962457   -1.570546360
     1     113     0.00000     0.00000     0.00000   -1.388801653   -2.950327653   -1.561526000
     1     113     0.01253     0.00000     0.03840   -1.384904065   -2.951038457   -1.566134391
     1     113     0.02506     0.00000     0.07679   -1.374876048   -2.957674496   -1.582798448
     1     113     0.03759     0.00000     0.11519   -1.361585377   -2.947511251   -1.585925874
     1     113     0.05012     0.00000     0.15359   -1.347349572   -2.949501265   -1.602151693
     1     113     0.06265     0.00000     0.19198   -1.338240047   -3.010684580   -1.672444532
     1     113     0.07518     0.00000     0.23038   -1.333906796   -2.992209210   -1.658302414
     1     113     0.07518    -0.30044     0.01187   -1.323623499   -3.001371136   -1.677747638
     1     113     0.06265    -0.25036     0.00989   -1.324026516   -2.988170892   -1.664144376
     1     113     0.05012    -0.20029     0.00791   -1.309097450   -2.956762252   -1.647664802
     1     113     0.03759    -0.15022     0.00593   -1.323356703   -2.942888759   -1.619532056
