# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     141     0.00000     0.00000     0.00000   -0.726017831   -2.024114831   -1.298097000
     1     141     0.00000     0.05013     0.00000   -0.741427686   -2.088377283   -1.346949596
     1     141     0.00000     0.10026     0.00000   -0.782002900   -2.229229430   -1.447226530
     1     141     0.00000     0.15040     0.00000   -0.837425243   -2.295672243   -1.458247000
     1     141     0.00000     0.20053     0.00000   -0.894597672   -2.381432321   -1.486834650
     1     141     0.00000     0.25066     0.00000   -0.935663755   -2.528398840   -1.592735085
     1     141     0.00000     0.30079     0.00000   -0.944837097   -2.565597097   -1.620760000
     1     141     0.00000     0.00000    -0.21724   -0.808280370   -2.301096370   -1.492816000
     1     141     0.00000     0.00000    -0.18104   -0.802930786   -2.301845415   -1.498914629
     1     141     0.00000     0.00000    -0.14483   -0.784328453   -2.266185810   -1.481857356
     1     141     0.00000     0.00000    -0.10862   -0.762487743   -2.233508743   -1.471021000
     1     141     0.00000     0.00000    -0.07241   -0.743437553   -2.208627115   -1.465189562
     1     141     0.00000     0.00000    -0.03621   -0.730913845   -2.116651396   -1.385737551
     1     141     0.00000     0.00000     0.00000   -0.726017831   -2.024114831   -1.298097000
     1     141     0.01058     0.00000     0.00121   -0.733731540   -2.169907255   -1.436175715
     1     141     0.02117     0.00000     0.00243   -0.740100174   -2.135632630   -1.395532456
     1     141     0.03175     0.00000     0.00364   -0.744835331   -2.107492670   -1.362657339
     1     141     0.04233     0.00000     0.00485   -0.747924261   -2.089452776   -1.341528516
     1     141     0.05291     0.00000     0.00606   -0.749757643   -2.081367185   -1.331609542
     1     141     0.06350     0.00000     0.00728   -0.750533367   -2.084157946   -1.333624578
     1     141     0.06350    -0.30079     0.22452   -0.876453019   -2.529776435   -1.653323416
     1     141     0.05291    -0.25066     0.18710   -0.881712650   -2.459299843   -1.577587193
     1     141     0.04233    -0.20053     0.14968   -0.901590928   -2.447374109   -1.545783181
     1     141     0.03175    -0.15040     0.11226   -0.886428066   -2.436077299   -1.549649232
     1     141     0.02117    -0.10026     0.07484   -0.814082413   -2.346143548   -1.532061135
     1     141     0.01058    -0.05013     0.03742   -0.750515787   -2.082152929   -1.331637143
     1     141     0.00000     0.00000     0.00000   -0.726017831   -2.024114831   -1.298097000
     1     141     0.01058     0.00000     0.03742   -0.736735088   -2.093212903   -1.356477816
     1     141     0.02117     0.00000     0.07484   -0.754013401   -2.227008965   -1.472995564
     1     141     0.03175     0.00000     0.11226   -0.776963563   -2.263320052   -1.486356489
     1     141     0.04233     0.00000     0.14968   -0.795727307   -2.312451575   -1.516724268
     1     141     0.05291     0.00000     0.18710   -0.805466722   -2.325892621   -1.520425899
     1     141     0.06350     0.00000     0.22452   -0.802093947   -2.344249755   -1.542155808
     1     141     0.06350    -0.30079     0.00728   -0.941135378   -2.549611167   -1.608475789
     1     141     0.05291    -0.25066     0.00606   -0.937941191   -2.525975553   -1.588034363
     1     141     0.04233    -0.20053     0.00485   -0.899244027   -2.423562586   -1.524318559
     1     141     0.03175    -0.15040     0.00364   -0.842626133   -2.325480361   -1.482854229
     1     141     0.02117    -0.10026     0.00243   -0.789445721   -2.249101605   -1.459655884
     1     141     0.01058    -0.05013     0.00121   -0.747069977   -2.153952327   -1.406882350
     1     141     0.00000     0.00000     0.00000   -0.726017831   -2.024114831   -1.298097000
     1     141     0.00000     0.05013     0.03621   -0.746745070   -2.173104707   -1.426359638
     1     141     0.00000     0.10026     0.07241   -0.808751742   -2.360907189   -1.552155447
     1     141     0.00000     0.15040     0.10862   -0.874134745   -2.429011743   -1.554876999
     1     141     0.00000     0.20053     0.14483   -0.893885444   -2.457529308   -1.563643864
     1     141     0.00000     0.25066     0.18104   -0.886360947   -2.499188430   -1.612827483
     1     141     0.00000     0.30079     0.21724   -0.874202508   -2.564930508   -1.690728000
     1     142     0.00000     0.00000     0.00000   -0.725803441   -2.396423441   -1.670620000
     1     142     0.00000     0.05013     0.00000   -0.736873081   -2.396407531   -1.659534451
     1     142     0.00000     0.10026     0.00000   -0.768657297   -2.423242767   -1.654585470
     1     142     0.00000     0.15040     0.00000   -0.819040842   -2.478791842   -1.659751000
     1     142     0.00000     0.20053     0.00000   -0.875531348   -2.524795887   -1.649264539
     1     142     0.00000     0.25066     0.00000   -0.923227274   -2.549637811   -1.626410537
     1     142     0.00000     0.30079     0.00000   -0.944799006   -2.571722006   -1.626923000
     1     142     0.00000     0.00000    -0.21724   -0.808260469   -2.304922469   -1.496662000
     1     142     0.00000     0.00000    -0.18104   -0.794776052   -2.309748910   -1.514972858
     1     142     0.00000     0.00000    -0.14483   -0.767321457   -2.333777686   -1.566456230
     1     142     0.00000     0.00000    -0.10862   -0.737636101   -2.316697101   -1.579061000
     1     142     0.00000     0.00000    -0.07241   -0.727439593   -2.230000458   -1.502560865
     1     142     0.00000     0.00000    -0.03621   -0.727080318   -2.312431315   -1.585350997
     1     142     0.00000     0.00000     0.00000   -0.725803441   -2.396423441   -1.670620000
     1     142     0.01058     0.00000     0.00121   -0.717587293   -2.251092656   -1.533505363
     1     142     0.02117     0.00000     0.00243   -0.709596513   -2.286520642   -1.576924128
     1     142     0.03175     0.00000     0.00364   -0.702773575   -2.316700632   -1.613927057
     1     142     0.04233     0.00000     0.00485   -0.697874597   -2.337649689   -1.639775092
     1     142     0.05291     0.00000     0.00606   -0.694978679   -2.348978671   -1.653999992
     1     142     0.06350     0.00000     0.00728   -0.693862400   -2.348902039   -1.655039638
     1     142     0.06350    -0.30079     0.22452   -0.876411893   -2.536541737   -1.660129844
     1     142     0.05291    -0.25066     0.18710   -0.866760156   -2.453435894   -1.586675738
     1     142     0.04233    -0.20053     0.14968   -0.838626093   -2.365332638   -1.526706545
     1     142     0.03175    -0.15040     0.11226   -0.802677630   -2.207170529   -1.404492899
     1     142     0.02117    -0.10026     0.07484   -0.769187489   -2.147020575   -1.377833087
