# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      73     0.00000     0.00000     0.00000   -2.273676640   -3.951282836   -1.677606196
     1      73     0.03338     0.00000    -0.00005   -2.267659401   -3.966213747   -1.698554346
     1      73     0.06676     0.00000    -0.00010   -2.253005699   -4.013215705   -1.760210006
     1      73     0.10015     0.00000    -0.00015   -2.235769908   -4.009099056   -1.773329147
     1      73     0.13353     0.00000    -0.00021   -2.221899125   -3.997270314   -1.775371189
     1      73     0.16691     0.00000    -0.00026   -2.213043444   -4.025820401   -1.812776957
     1      73     0.20029     0.00000    -0.00031   -2.209488585   -4.045677342   -1.836188757
     1      73     0.00000     0.27385     0.00000   -2.228519750   -4.006630312   -1.778110563
     1      73     0.00000     0.22821     0.00000   -2.237439520   -4.020067624   -1.782628104
     1      73     0.00000     0.18257     0.00000   -2.254547821   -4.058394331   -1.803846511
     1      73     0.00000     0.13693     0.00000   -2.264676791   -4.073752804   -1.809076013
     1      73     0.00000     0.09128     0.00000   -2.259824506   -4.071829183   -1.812004676
     1      73     0.00000     0.04564     0.00000   -2.266723093   -3.963759085   -1.697035992
     1      73     0.00000     0.00000     0.00000   -2.273676640   -3.951282836   -1.677606196
     1      73     0.00000     0.00000     0.02065   -2.281451719   -3.969899923   -1.688448204
     1      73     0.00000     0.00000     0.04130   -2.294879891   -3.987129543   -1.692249651
     1      73     0.00000     0.00000     0.06195   -2.308119756   -4.001909057   -1.693789300
     1      73     0.00000     0.00000     0.08261   -2.318579542   -4.009887378   -1.691307836
     1      73     0.00000     0.00000     0.10326   -2.323963636   -4.012590912   -1.688627277
     1      73     0.00000     0.00000     0.12391   -2.325166531   -4.013831661   -1.688665130
     1      73     0.20029    -0.27385     0.12360   -2.280039073   -4.049607947   -1.769568874
     1      73     0.16691    -0.22821     0.10300   -2.298171259   -4.069079967   -1.770908708
     1      73     0.13353    -0.18257     0.08240   -2.279085480   -4.050624865   -1.771539386
     1      73     0.10015    -0.13693     0.06180   -2.245622694   -4.016892896   -1.771270202
     1      73     0.06676    -0.09128     0.04120   -2.262749686   -4.040394479   -1.777644793
     1      73     0.03338    -0.04564     0.02060   -2.272437915   -3.985935862   -1.713497947
     1      73     0.00000     0.00000     0.00000   -2.273676640   -3.951282836   -1.677606196
     1      73     0.00000    -0.04564     0.02065   -2.275910878   -3.983979600   -1.708068723
     1      73     0.00000    -0.09128     0.04130   -2.278248643   -4.046497134   -1.768248490
     1      73     0.00000    -0.13693     0.06195   -2.274693083   -4.061828409   -1.787135326
     1      73     0.00000    -0.18257     0.08261   -2.268126669   -4.054350645   -1.786223976
     1      73     0.00000    -0.22821     0.10326   -2.267362710   -4.052232319   -1.784869609
     1      73     0.00000    -0.27385     0.12391   -2.268121214   -4.054759890   -1.786638676
     1      73    -0.20029     0.00000     0.12422   -2.267526362   -4.071831177   -1.804304815
     1      73    -0.16691     0.00000     0.10352   -2.265110009   -4.055631157   -1.790521148
     1      73    -0.13353     0.00000     0.08281   -2.260743941   -4.019802283   -1.759058342
     1      73    -0.10015     0.00000     0.06211   -2.262463169   -4.026574763   -1.764111594
     1      73    -0.06676     0.00000     0.04141   -2.271087680   -4.028906927   -1.757819247
     1      73    -0.03338     0.00000     0.02070   -2.275001832   -3.988865387   -1.713863556
     1      73     0.00000     0.00000     0.00000   -2.273676640   -3.951282836   -1.677606196
     1      73     0.03338     0.04564    -0.00005   -2.264452538   -4.016218662   -1.751766124
     1      73     0.06676     0.09128    -0.00010   -2.268019133   -4.059964075   -1.791944941
     1      73     0.10015     0.13693    -0.00015   -2.283625690   -4.071188627   -1.787562938
     1      73     0.13353     0.18257    -0.00021   -2.304000943   -4.100681583   -1.796680641
     1      73     0.16691     0.22821    -0.00026   -2.322199304   -4.113982217   -1.791782913
     1      73     0.20029     0.27385    -0.00031   -2.326268468   -4.094495808   -1.768227340
     1      74     0.00000     0.00000     0.00000   -2.247147591   -4.076862064   -1.829714473
     1      74     0.03338     0.00000    -0.00005   -2.243398268   -4.064282814   -1.820884547
     1      74     0.06676     0.00000    -0.00010   -2.234469461   -4.029648885   -1.795179424
     1      74     0.10015     0.00000    -0.00015   -2.222339862   -4.014194206   -1.791854344
     1      74     0.13353     0.00000    -0.00021   -2.210942470   -4.006313763   -1.795371293
     1      74     0.16691     0.00000    -0.00026   -2.204958814   -3.992685579   -1.787726765
     1      74     0.20029     0.00000    -0.00031   -2.203747665   -3.981280917   -1.777533252
     1      74     0.00000     0.27385     0.00000   -2.228506392   -4.006726814   -1.778220422
     1      74     0.00000     0.22821     0.00000   -2.232023853   -4.003830383   -1.771806530
     1      74     0.00000     0.18257     0.00000   -2.238648153   -3.989874587   -1.751226434
     1      74     0.00000     0.13693     0.00000   -2.245239955   -3.990241585   -1.745001629
     1      74     0.00000     0.09128     0.00000   -2.254015606   -3.991477619   -1.737462013
     1      74     0.00000     0.04564     0.00000   -2.251213292   -4.075288191   -1.824074899
     1      74     0.00000     0.00000     0.00000   -2.247147591   -4.076862064   -1.829714473
     1      74     0.00000     0.00000     0.02065   -2.236406131   -4.054920226   -1.818514095
     1      74     0.00000     0.00000     0.04130   -2.216207585   -4.026835007   -1.810627422
     1      74     0.00000     0.00000     0.06195   -2.197635602   -4.002258576   -1.804622974
     1      74     0.00000     0.00000     0.08261   -2.184820071   -3.992875842   -1.808055770
     1      74     0.00000     0.00000     0.10326   -2.176268222   -3.993254126   -1.816985904
     1      74     0.00000     0.00000     0.12391   -2.173044644   -3.993952078   -1.820907434
     1      74     0.20029    -0.27385     0.12360   -2.280020371   -4.049568825   -1.769548455
     1      74     0.16691    -0.22821     0.10300   -2.230386667   -3.992272682   -1.761886015
     1      74     0.13353    -0.18257     0.08240   -2.222969056   -3.984726257   -1.761757201
     1      74     0.10015    -0.13693     0.06180   -2.224856823   -4.002274533   -1.777417710
     1      74     0.06676    -0.09128     0.04120   -2.213125690   -3.998787984   -1.785662294
